Tweet,Date,Link,Images
"The political problem on the Republican side of the aisle is how to get our base to vote in off-cycle elections. 

We've seen the establishment (finally) accept Donald Trump's leadership of the Republican Party. Now it's time to try to actually learn from his political success.",2025-04-02,https://x.com/JDVance/status/1907446441343160803,No Images
".
@VP
 on tariffs: “This is a big change — but we needed a big change. We cannot keep going down the Joe Biden globalist pathway, where we have $2 trillion of peacetime debt and deficits. We have manufacturing disappearing. That is not working for Americans.”",2025-04-03,https://x.com/RapidResponse47/status/1907770113320730953,No Images
RIP Val Kilmer. (And good on Tom Cruise for insisting that this scene be in the Maverick movie. It had a gracious and elegant finality about it).,2025-04-02,https://x.com/RaymondArroyo/status/1907405044917428476,https://pbs.twimg.com/amplify_video_thumb/1907289287076478976/img/zmUNy-L873MJ33dO.jpg
"Joe Biden sanctioned an invasion of the United States. We have approximately 20 million illegal aliens in this country. Their victims are measured in longer wait times for hospitals, overwhelmed schools, and murder victims the media largely ignored. 

The media has deteremined",2025-04-01,https://x.com/JDVance/status/1907078664614780991,No Images
"Kyle Cheney, a ""legal affairs reporter"" is apparently unable or unwilling to look at the facts here. 

In 2019, an Immigration Judge (under the first Trump administration) determined that the deported man was, in fact, a member of the MS-13 gang. He also apparently had multiple",2025-04-01,https://x.com/JDVance/status/1907056566890566136,"https://pbs.twimg.com/media/Gnc2CLoWcAAw6rY?format=png&name=medium, https://pbs.twimg.com/media/GnbVp5gWUAAanmV?format=jpg&name=360x360, https://pbs.twimg.com/media/GnbVp5hWkAAQLEb?format=jpg&name=240x240"
RIP Val Kilmer. (And good on Tom Cruise for insisting that this scene be in the Maverick movie. It had a gracious and elegant finality about it).,2025-04-02,https://x.com/RaymondArroyo/status/1907405044917428476,No Images
"Edited the original post because 2019 (when this determination was made) was during the Trump admin, not the Biden admin.",2025-04-01,https://x.com/JDVance/status/1907057506423128080,No Images
"My comment is that according to the court document you apparently didn’t read he was a convicted MS-13 gang member with no legal right to be here. 

My further comment is that it’s gross to get fired up about gang members getting deported while ignoring citizens they victimize.",2025-04-01,https://x.com/JDVance/status/1906934067607556440,No Images
,2025-03-31,https://x.com/elonmusk/status/1906545007818920327,https://pbs.twimg.com/amplify_video_thumb/1906535295622733824/img/c6b81nzyHX13lEdP.jpg
"For those who need a reminder: the outrage is what Biden did to our border. 

We’re cleaning up this mess, just as justice requires.",2025-03-31,https://x.com/JDVance/status/1906518697792897435,No Images
"It is this braindead liberalism pretending to conservatism that saw the US go from the world's manufacturing superpower to one in which the PRC makes nearly twice as much as we do. And where, if the small island of Taiwan fell to an invasion, we'd be hurled into a Great https://x.com/bonchieredstat/bonchieredstate/status/1905951593335242912…",2025-03-29,https://x.com/JDVance/status/1906076175602253934,No Images
Tim is a great American,2025-03-29,https://x.com/JDVance/status/1906011266411303236,https://pbs.twimg.com/ext_tw_video_thumb/1905717032362106880/pu/img/7sITbeEkZMmDK4Ns.jpg
"These people want to turn Europe into a permanent protectorate. The problem: if it was ever a good idea, it is simply not sustainable with $2 trillion in annual deficits.",2025-03-29,https://x.com/JDVance/status/1905986279151480944,No Images
"Greenland, as it turns out, is both amazing and cold

Vice President 
@JDVance
 and I were tempted to take a cold plunge in the frigid water right behind us in this picture

Fortunately, the Second Lady was there to talk us out of it",2025-03-28,https://x.com/BasedMikeLee/status/1905771853047894423,https://pbs.twimg.com/media/GnKpZTaawAAt9Mm?format=jpg&name=medium
"Usha and I are on our way home from an incredible journey to Greenland. We can't wait to come back again soon.

America stands with Greenland!",2025-03-28,https://x.com/JDVance/status/1905703328912486723,https://pbs.twimg.com/ext_tw_video_thumb/1905701880820633600/pu/img/7c4DtR_Lwd8y0Bc2.jpg
We’re on our way and looking forward to it!,2025-03-28,https://x.com/JDVance/status/1905636137110028308,No Images
".
@EliseStefanik
 is a PATRIOT! ",2025-03-27,https://x.com/TrumpWarRoom/status/1905322890012074281,https://pbs.twimg.com/media/GnEQn80WUAAd37i?format=jpg&name=medium
"This morning, 
@JoshKraushaar
 ran a hit piece against me in Jewish Insider, which has become an anti-JD rag. It has many problems, including seven anonymous quotes from cowardly Republicans. 

But the most glaring factual error is the below, which says the Houthis killed three",2025-03-27,https://x.com/JDVance/status/1905269161019818048,https://pbs.twimg.com/media/GnDgD60W0AAkjMC?format=png&name=medium
"Extremely proud of our US Marines, and honored to get to visit with them today in Quantico. Semper Fi!",2025-03-27,https://x.com/JDVance/status/1905100725056643536,https://pbs.twimg.com/media/GnBG_6wWUAAEsw8?format=jpg&name=medium
"Become VP, get to shoot machine guns with Marines. Not a bad gig!",2025-03-26,https://x.com/JDVance/status/1905040339326361848,https://pbs.twimg.com/amplify_video_thumb/1904974219709923328/img/s5CcRxrLLpfBIbFg.jpg
"It’s very clear Goldberg oversold what he had. But one thing in particular really stands out. 

Remember when he was attacking Ratcliffe for blowing the cover for a CIA agent? Turns out Ratcliffe was simply naming his chief of staff.",2025-03-26,https://x.com/JDVance/status/1904887094649971146,https://pbs.twimg.com/media/Gm95r-pXEAAN_Fy?format=jpg&name=medium
Looking forward to visiting Greenland on Friday!,2025-03-25,https://x.com/JDVance/status/1904618817986474240,https://pbs.twimg.com/ext_tw_video_thumb/1904618632014934016/pu/img/mziX2g7SPBx-vtLa.jpg
"REPORTER: The two astronauts that you just helped save from space, they didn't get any overtime pay...
@POTUS
: ""If I have to, I'll pay it out of my own pocket... and I want to thank 
@elonmusk
 by the way because think if we don't have him.""",2025-03-21,https://x.com/RapidResponse47/status/1903117739729813968,https://pbs.twimg.com/ext_tw_video_thumb/1903117071577190400/pu/img/tGurPLJmI5eMLhL5.jpg
"Well said.

Excellence saves lives.",2025-03-19,https://x.com/JDVance/status/1902411743428514085,No Images
"I met Tony a few times in the hallway of the West Wing. He was extremely kind, and I had no idea he coined the phrase ""evil empire.""

May he rest in peace.",2025-03-19,https://x.com/JDVance/status/1902361782255063090,No Images
"Sometimes when I need a little boost, I look at the 
@JDVance
 portrait in the 
@WhiteHouse
 and thank the Lord ",2025-03-19,https://x.com/elonmusk/status/1902245469624910072,https://pbs.twimg.com/amplify_video_thumb/1902197510866923520/img/sHKExjeNrCrY1c5Z.jpg
This is extremely cool,2025-03-18,https://x.com/JDVance/status/1902131566521795054,https://pbs.twimg.com/amplify_video_thumb/1902122715546308608/img/DOf54JULyGtyMvAI.jpg
"President Trump has secured an energy and infrastructure ceasefire in the Russia/Ukraine War -- the first deescalation in three years, paving the way for a full ceasefire and permanent peace. He also secured Russian cooperation on Iran/Middle East. Extraordinary accomplishments.",2025-03-18,https://x.com/DavidSacks/status/1902071643972960498,https://pbs.twimg.com/media/GmVwW6JacAAGeTH?format=jpg&name=900x900
" THIS IS A MASTERCLASS: VP JD Vance just absolutely excoriated the whole premise behind globalism.

Future of the Republican Party right here. He says the solution to globalists' hunger for cheap labor in other countries is to bring back American innovation. He is RIGHT.",2025-03-18,https://x.com/EricLDaugh/status/1901999555182461183,https://pbs.twimg.com/ext_tw_video_thumb/1901998615255494656/pu/img/8op1MfAbhACeQFPt.jpg
"The Trump plan for the great American comeback is simple: We want companies to invest right here in America—in our own workers and factories.

That means cutting taxes, slashing regulations, and unleashing energy so we can become the industrial powerhouse of the next century.",2025-03-18,https://x.com/JDVance/status/1902003410255176021,https://pbs.twimg.com/ext_tw_video_thumb/1902003335852380161/pu/img/L16z21oRVDXb2Ecb.jpg
A great interview.,2025-03-18,https://x.com/JDVance/status/1901964313511731387,https://pbs.twimg.com/amplify_video_thumb/1901741182553821184/img/FINtFY2aIHnISbRj.jpg
"Western societies keep running the experiment of importing millions of low wage immigrants and expecting it to boost per capita productivity or GDP. And they keep failing. 

It's time to follow a different path:",2025-03-17,https://x.com/JDVance/status/1901631931298525519,"https://pbs.twimg.com/media/GmP0H0MagAAib_e?format=png&name=360x360, https://pbs.twimg.com/media/GmNfdzdbkAAWEMt?format=jpg&name=360x360"
".
@VP
: ""The average income it takes to buy a new house is nearly 2x the average salary of your typical American family... That’s just not acceptable or sustainable in the United States of America. We want Americans to be a will to afford the American Dream of homeownership.""",2025-03-10,https://x.com/RapidResponse47/status/1899170533637591313,https://pbs.twimg.com/ext_tw_video_thumb/1899169784673026048/pu/img/7Xil0e877CKjAiix.jpg
"Today while walking my 3 year old daughter a group of “Slava Ukraini” protesters followed us around and shouted as my daughter grew increasingly anxious and scared. 

I decided to speak with the protesters in the hopes that I could trade a few minutes of conversation for them",2025-03-08,https://x.com/JDVance/status/1898471709662916636,No Images
,2025-03-08,https://x.com/JDVance/status/1898372454235451694,https://pbs.twimg.com/media/Glhfr2DWsAAUDw-?format=jpg&name=medium
"Turns out all we needed to secure the border was a new president.
@POTUS",2025-03-06,https://x.com/VP/status/1897645155475198165,https://pbs.twimg.com/amplify_video_thumb/1897644825899393025/img/jXZs8DX3bmlb6INj.jpg
".
@VP
 delivers remarks from the SECURE southern border: ""As 
@POTUS
 said last night... it turns out we didn't need new laws. We didn't need fancy legislation. We just needed a new President of the United States — and thank God that's exactly what we have.""",2025-03-05,https://x.com/RapidResponse47/status/1897395212915470386,https://pbs.twimg.com/ext_tw_video_thumb/1897394480174510080/pu/img/699WY20vFGthLDfE.jpg
" MIC DROP MOMENT FROM TRUMP. BOOM.

""The media and our friends in the Democrat Party kept saying, 'We needed new legislation, we must have legislation to secure the border.' But it turned out - all we really needed was a new president.""",2025-03-05,https://x.com/EricLDaugh/status/1897123669253742624,https://pbs.twimg.com/ext_tw_video_thumb/1897123499799425024/pu/img/HqWrDQwAfNxkuDXz.jpg
" Epic speech by 
@POTUS
! ",2025-03-05,https://x.com/elonmusk/status/1897163894856278306,https://pbs.twimg.com/media/GlQTNwEawAA-X68?format=jpg&name=medium
"America needs quality people in government who are willing to have tough conversations for the good of their country.
@ElbridgeColby
 is a friend of mine and exactly the type of person we should have in a leadership role at the Pentagon.",2025-03-04,https://x.com/JDVance/status/1897026897206501644,No Images
"These people are such idiots. We had a great time during our weekend in Vermont. We barely noticed the protesters and almost everyone we met was kind and generous. And Vermont is beautiful. 

This headline about being moved to an “undisclosed location” is that we moved our hotel",2025-03-04,https://x.com/JDVance/status/1897002913278648397,https://pbs.twimg.com/media/GlFsbdKbUAAC1dK?format=jpg&name=medium
"“A real man would force the secret service to post his kids’ weekend address on the internet,” said Jeff Computers, a very smart and well-adjusted human being.",2025-03-04,https://x.com/JDVance/status/1897004307498852744,No Images
"This is absurdly dishonest. 

I don’t even mention the UK or France in the clip, both of whom have fought bravely alongside the US over the last 20 years, and beyond.",2025-03-04,https://x.com/JDVance/status/1896891416187703687,https://pbs.twimg.com/ext_tw_video_thumb/1896754080086720512/pu/img/HW5aaRirtkIls_xV.jpg
But let’s be direct: there are many countries who are volunteering (privately or publicly) support who have neither the battlefield experience nor the military equipment to do anything meaningful.,2025-03-04,https://x.com/JDVance/status/1896891933571858939,No Images
"Hope is not a strategy to bring peace to Ukraine.

The only person in town who seems to have a strategy is President Donald J. Trump.",2025-03-04,https://x.com/JDVance/status/1896754486389182924,https://pbs.twimg.com/ext_tw_video_thumb/1896754080086720512/pu/img/HW5aaRirtkIls_xV.jpg
"Here's the case.

Trump's alignment with Putin - and his plan to sell out Ukraine - is shameful. 

But it's part of a bigger story. Trump sides with dictators bc it legitimizes his plan for America: a Russian-style kleptocracy where the rich steal from us to enrich themselves.",2025-03-03,https://x.com/JDVance/status/1896586554036060269,"https://pbs.twimg.com/media/GlIHa0TXsAEuG37?format=jpg&name=900x900, https://pbs.twimg.com/amplify_video_thumb/1896217994927194113/img/fW_OxSZn5CNZyW5h?format=jpg&name=360x360"
